last                      credit      wus  last_change       credit_change    wus_change        ppd
2021-02-05 05:56:54  28621286695  1723665  1:40:49                 1748839            20   24979284
2021-02-05 04:16:05  28619537856  1723645  0:49:57                  271021             9    7813218
2021-02-05 03:26:08  28619266835  1723636  1:10:08                 1306781            14   26831244
2021-02-05 02:16:00  28617960054  1723622  0:49:54                 1209565            13   34905282
2021-02-05 01:26:06  28616750489  1723609  1:00:00                  458618            11   11006832
2021-02-05 00:26:06  28616291871  1723598  1:29:58                 1485534            37   23777350
2021-02-04 22:56:08  28614806337  1723561  0:50:08                  430951            16   12378379
2021-02-04 22:06:00  28614375386  1723545  2:09:57                 1534199            35   17000743
2021-02-04 19:56:03  28612841187  1723510  1:40:02                  794619            19   11438700
2021-02-04 18:16:01  28612046568  1723491  0:59:53                  646174            14   15538389
2021-02-04 17:16:08  28611400394  1723477  1:00:05                  816935            15   19579246
2021-02-04 16:16:03  28610583459  1723462  2:10:04                 1347911            20   14923053
2021-02-04 14:05:59  28609235548  1723442  1:49:54                  770828            17   10100021
2021-02-04 12:16:05  28608464720  1723425  0:30:06                  325929             5   15592616
2021-02-04 11:45:59  28608138791  1723420  1:39:57                  672921            16    9694909
2021-02-04 10:06:02  28607465870  1723404  1:49:50                 1266105            20   16599616
2021-02-04 08:16:12  28606199765  1723384  2:10:11                  973469            23   10767855
2021-02-04 06:06:01  28605226296  1723361  1:49:59                  664503            36    8700266
2021-02-04 04:16:02  28604561793  1723325  0:39:53                  600069            10   21665675
2021-02-04 03:36:09  28603961724  1723315  1:20:11                  507728            13    9118208
2021-02-04 02:15:58  28603453996  1723302  0:39:50                  408828             6   14779388
2021-02-04 01:36:08  28603045168  1723296  1:10:09                  277828             9    5703097
2021-02-04 00:25:59  28602767340  1723287  1:30:01                  847357            35   13555201
2021-02-03 22:55:58  28601919983  1723252  1:50:06                  850166            68   11119337
2021-02-03 21:05:52  28601069817  1723184  1:00:02                  909164            14   21807820
2021-02-03 20:05:50  28600160653  1723170  1:10:02                  400510            11    8235141
2021-02-03 18:55:48  28599760143  1723159  0:40:00                  107631            25    3874716
2021-02-03 18:15:48  28599652512  1723134  0:50:03                  325600            11    9367912
2021-02-03 17:25:45  28599326912  1723123  1:29:50                 1077741            14   17275848
2021-02-03 15:55:55  28598249171  1723109  1:59:58                  828639            21    9946430
2021-02-03 13:55:57  28597420532  1723088  0:40:01                  498484             6   17937949
2021-02-03 13:15:56  28596922048  1723082  1:00:02                  387630            10    9297954
2021-02-03 12:15:54  28596534418  1723072  2:00:06                 1112909            23   13343788
2021-02-03 10:15:48  28595421509  1723049  1:59:55                  695218            18    8348413
2021-02-03 08:15:53  28594726291  1723031  1:59:55                  925067            24   11108518
2021-02-03 06:15:58  28593801224  1723007  2:00:04                  941969            36   11297351
2021-02-03 04:15:54  28592859255  1722971  0:39:57                  115062            11    4147416
2021-02-03 03:35:57  28592744193  1722960  1:10:13                  835128            14   17126764
2021-02-03 02:25:44  28591909065  1722946  0:59:47                  338485            25    8153081
2021-02-03 01:25:57  28591570580  1722921  0:49:54                  592719            10   17104516
