last                      credit      wus  last_change        credit_change    wus_change        ppd
2021-02-25 02:36:34  18358396293  1376183  0:19:58                   154053             6   11110333
2021-02-25 02:16:36  18358242240  1376177  1:40:06                   807740            24   11619836
2021-02-25 00:36:30  18357434500  1376153  1:49:55                  1429522            30   18727930
2021-02-24 22:46:35  18356004978  1376123  0:40:04                   478369             8   17192629
2021-02-24 22:06:31  18355526609  1376115  1:19:54                   842497            21   15183925
2021-02-24 20:46:37  18354684112  1376094  0:40:02                   242341            13    8717011
2021-02-24 20:06:35  18354441771  1376081  1:59:55                  1820137            37   21856822
2021-02-24 18:06:40  18352621634  1376044  0:30:10                   784709            11   37457932
2021-02-24 17:36:30  18351836925  1376033  1:59:50                  2305942            38   27709789
2021-02-24 15:36:40  18349530983  1375995  1:20:01                  1166832            29   20998601
2021-02-24 14:16:39  18348364151  1375966  1:00:01                  1164021            18   27928746
2021-02-24 13:16:38  18347200130  1375948  1:00:07                  1560838            18   37387414
2021-02-24 12:16:31  18345639292  1375930  2:09:57                  1866026            37   20677779
2021-02-24 10:06:34  18343773266  1375893  0:40:05                   512316             9   18405032
2021-02-24 09:26:29  18343260950  1375884  1:09:52                  1439421            27   29667455
2021-02-24 08:16:37  18341821529  1375857  2:09:59                  1876021            39   20783204
2021-02-24 06:06:38  18339945508  1375818  1:49:55                  1157185            31   15160088
2021-02-24 04:16:43  18338788323  1375787  2:00:09                  1923572            31   23054046
2021-02-24 02:16:34  18336864751  1375756  0:40:01                   502453             9   18080774
2021-02-24 01:36:33  18336362298  1375747  1:09:59                  1255608            21   25835801
2021-02-24 00:26:34  18335106690  1375726  0:19:59                   428185             4   30855032
2021-02-24 00:06:35  18334678505  1375722  1:19:56                  1164271            19   20974356
2021-02-23 22:46:39  18333514234  1375703  1:00:01                   701548            18   16832476
2021-02-23 21:46:38  18332812686  1375685  1:40:09                  1338042            24   19238946
2021-02-23 20:06:29  18331474644  1375661  1:59:51                  1467982            27   17637831
2021-02-23 18:06:38  18330006662  1375634  0:40:02                  1042527            19   37499722
2021-02-23 17:26:36  18328964135  1375615  0:39:54                   709144            11   25593166
2021-02-23 16:46:42  18328254991  1375604  1:10:08                  1960063            24   40244639
2021-02-23 15:36:34  18326294928  1375580  0:49:57                   573688            18   16538753
2021-02-23 14:46:37  18325721240  1375562  0:49:59                  1307106            23   37657205
2021-02-23 13:56:38  18324414134  1375539  1:40:00                  1095203            40   15770923
2021-02-23 12:16:38  18323318931  1375499  2:03:47                  1188285            45   13823592
